DATE,FPCPITOTLZGWLD
2000-01-01,3.43351563418767
2001-01-01,3.83657262052543
2002-01-01,2.90799857032207
2003-01-01,3.02504526252236
2004-01-01,3.51799903099596
2005-01-01,4.10725070715938
2006-01-01,4.26717463390263
2007-01-01,4.81023704342912
2008-01-01,8.94995335353387
2009-01-01,2.86044855902672
2010-01-01,3.32634463368643
2011-01-01,4.82239636013325
2012-01-01,3.72532666110646
2013-01-01,2.65167342916577
2014-01-01,2.35449052820358
2015-01-01,1.44385719270808
2016-01-01,1.60553917414213
2017-01-01,2.25427651934813
2018-01-01,2.45036243850175
2019-01-01,2.20607305781525
2020-01-01,1.93694126694223
2021-01-01,3.46692585313154
2022-01-01,7.96757361617885
